Transaction_ID,Date,Branch,Product,Category,Quantity,Unit_Price,Payment_Method,Customer_Type,Total_Sales,Year,Month,Month_Name,Day,Day_Name,Year_Month
TXN0191,2026-01-01,Entebbe,Shampoo,Personal Care,3,22000,Card,Regular,66000,2026,1,January,1,Thursday,2026-01
TXN0113,2026-01-02,Entebbe,Electric Kettle,Home & Kitchen,3,95000,Mobile Money,Regular,285000,2026,1,January,2,Friday,2026-01
TXN0499,2026-01-02,Jinja,Smartphone,Electronics,5,850000,Mobile Money,New,4250000,2026,1,January,2,Friday,2026-01
TXN0140,2026-01-03,Jinja,Frying Pan,Home & Kitchen,2,65000,Cash,New,130000,2026,1,January,3,Saturday,2026-01
TXN0150,2026-01-04,Jinja,Cooking Oil 3L,Groceries,5,28000,Cash,Regular,140000,2026,1,January,4,Sunday,2026-01
TXN0412,2026-01-05,Entebbe,Rice 5kg,Groceries,3,32000,Mobile Money,New,96000,2026,1,January,5,Monday,2026-01
TXN0337,2026-01-05,Entebbe,Jacket,Clothing,1,150000,Mobile Money,New,150000,2026,1,January,5,Monday,2026-01
TXN0455,2026-01-06,Entebbe,Jacket,Clothing,3,150000,Cash,New,450000,2026,1,January,6,Tuesday,2026-01
TXN0229,2026-01-07,Jinja,Electric Kettle,Home & Kitchen,5,95000,Mobile Money,New,475000,2026,1,January,7,Wednesday,2026-01
TXN0098,2026-01-07,Kampala,Laptop Bag,Electronics,2,85000,Mobile Money,New,170000,2026,1,January,7,Wednesday,2026-01
TXN0124,2026-01-08,Kampala,Body Lotion,Personal Care,2,25000,Cash,New,50000,2026,1,January,8,Thursday,2026-01
TXN0003,2026-01-08,Kampala,Smartphone,Electronics,2,850000,Cash,New,1700000,2026,1,January,8,Thursday,2026-01
TXN0138,2026-01-08,Entebbe,Sugar 2kg,Groceries,3,12000,Cash,Regular,36000,2026,1,January,8,Thursday,2026-01
TXN0357,2026-01-09,Jinja,T-Shirt,Clothing,2,45000,Card,Regular,90000,2026,1,January,9,Friday,2026-01
TXN0040,2026-01-09,Entebbe,Toothpaste,Personal Care,1,12000,Card,New,12000,2026,1,January,9,Friday,2026-01
TXN0235,2026-01-09,Jinja,Cooking Oil 3L,Groceries,3,28000,Cash,Regular,84000,2026,1,January,9,Friday,2026-01
TXN0197,2026-01-10,Kampala,Electric Kettle,Home & Kitchen,5,95000,Card,Regular,475000,2026,1,January,10,Saturday,2026-01
TXN0344,2026-01-10,Jinja,Cooking Oil 3L,Groceries,2,28000,Mobile Money,Regular,56000,2026,1,January,10,Saturday,2026-01
TXN0402,2026-01-11,Kampala,Frying Pan,Home & Kitchen,1,65000,Cash,Regular,65000,2026,1,January,11,Sunday,2026-01
TXN0171,2026-01-11,Entebbe,T-Shirt,Clothing,3,45000,Card,Regular,135000,2026,1,January,11,Sunday,2026-01
TXN0008,2026-01-12,Jinja,Body Lotion,Personal Care,4,25000,Card,New,100000,2026,1,January,12,Monday,2026-01
TXN0086,2026-01-12,Jinja,Cooking Oil 3L,Groceries,4,28000,Cash,New,112000,2026,1,January,12,Monday,2026-01
TXN0339,2026-01-12,Entebbe,Laptop Bag,Electronics,5,85000,Mobile Money,New,425000,2026,1,January,12,Monday,2026-01
TXN0394,2026-01-13,Entebbe,Smartphone,Electronics,4,850000,Card,Regular,3400000,2026,1,January,13,Tuesday,2026-01
TXN0069,2026-01-14,Kampala,Cooking Oil 3L,Groceries,4,28000,Mobile Money,New,112000,2026,1,January,14,Wednesday,2026-01
TXN0272,2026-01-14,Kampala,Toothpaste,Personal Care,2,12000,Card,New,24000,2026,1,January,14,Wednesday,2026-01
TXN0151,2026-01-14,Jinja,Smartphone,Electronics,3,850000,Card,New,2550000,2026,1,January,14,Wednesday,2026-01
TXN0296,2026-01-15,Entebbe,Smartphone,Electronics,3,850000,Cash,New,2550000,2026,1,January,15,Thursday,2026-01
TXN0453,2026-01-15,Entebbe,Body Lotion,Personal Care,2,25000,Card,Regular,50000,2026,1,January,15,Thursday,2026-01
TXN0457,2026-01-16,Kampala,Frying Pan,Home & Kitchen,4,65000,Cash,Regular,260000,2026,1,January,16,Friday,2026-01
TXN0051,2026-01-16,Kampala,Toothpaste,Personal Care,4,12000,Cash,Regular,48000,2026,1,January,16,Friday,2026-01
TXN0431,2026-01-16,Kampala,Jeans,Clothing,5,85000,Cash,New,425000,2026,1,January,16,Friday,2026-01
TXN0023,2026-01-17,Entebbe,T-Shirt,Clothing,4,45000,Card,Regular,180000,2026,1,January,17,Saturday,2026-01
TXN0365,2026-01-17,Jinja,Jacket,Clothing,5,150000,Mobile Money,Regular,750000,2026,1,January,17,Saturday,2026-01
TXN0230,2026-01-17,Jinja,Jeans,Clothing,4,85000,Card,Regular,340000,2026,1,January,17,Saturday,2026-01
TXN0033,2026-01-18,Jinja,Shampoo,Personal Care,2,22000,Cash,Regular,44000,2026,1,January,18,Sunday,2026-01
TXN0456,2026-01-19,Kampala,T-Shirt,Clothing,4,45000,Mobile Money,New,180000,2026,1,January,19,Monday,2026-01
TXN0363,2026-01-19,Entebbe,Laptop Bag,Electronics,2,85000,Card,Regular,170000,2026,1,January,19,Monday,2026-01
TXN0162,2026-01-20,Kampala,Frying Pan,Home & Kitchen,1,65000,Mobile Money,Regular,65000,2026,1,January,20,Tuesday,2026-01
TXN0495,2026-01-20,Jinja,Shampoo,Personal Care,1,22000,Cash,Regular,22000,2026,1,January,20,Tuesday,2026-01
TXN0283,2026-01-20,Entebbe,Toothpaste,Personal Care,5,12000,Mobile Money,Regular,60000,2026,1,January,20,Tuesday,2026-01
TXN0423,2026-01-21,Entebbe,Jacket,Clothing,4,150000,Card,Regular,600000,2026,1,January,21,Wednesday,2026-01
TXN0287,2026-01-21,Entebbe,Frying Pan,Home & Kitchen,3,65000,Card,Regular,195000,2026,1,January,21,Wednesday,2026-01
TXN0122,2026-01-21,Entebbe,Shampoo,Personal Care,1,22000,Card,New,22000,2026,1,January,21,Wednesday,2026-01
TXN0251,2026-01-21,Entebbe,Headphones,Electronics,5,120000,Cash,New,600000,2026,1,January,21,Wednesday,2026-01
